season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,16,HOU,LV,HOU,0.681411
2025,16,TEN,KC,KC,0.731375
2025,16,IND,SF,SF,0.567703
2025,16,DEN,JAX,JAX,0.590002
2025,16,DAL,LAC,DAL,0.519641
2025,16,NYG,MIN,NYG,0.630885
2025,16,WSH,PHI,PHI,0.583628
2025,16,CHI,GB,CHI,0.519419
2025,16,DET,PIT,DET,0.704765
2025,16,NO,NYJ,NO,0.645389
2025,16,CAR,TB,TB,0.53366
2025,16,SEA,LAR,LAR,0.531842
2025,16,ARI,ATL,ATL,0.532404
2025,16,MIA,CIN,MIA,0.567215
2025,16,BAL,NE,NE,0.66001
2025,16,CLE,BUF,BUF,0.8176
