season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,2,HOU,TB,TB,0.614241
2025,2,TEN,LAR,LAR,0.760263
2025,2,IND,DEN,DEN,0.527344
2025,2,KC,PHI,PHI,0.517105
2025,2,LV,LAC,LAC,0.706824
2025,2,DAL,NYG,DAL,0.83253
2025,2,GB,WSH,GB,0.635054
2025,2,MIN,ATL,ATL,0.686083
2025,2,DET,CHI,DET,0.679175
2025,2,NO,SF,SF,0.767119
2025,2,ARI,CAR,CAR,0.616708
2025,2,NYJ,BUF,BUF,0.599412
2025,2,MIA,NE,MIA,0.511514
2025,2,BAL,CLE,BAL,0.681206
2025,2,PIT,SEA,PIT,0.516657
2025,2,CIN,JAX,CIN,0.521025
