Home Team,Away Team,Predicted Winner,Win Probability,Win Spread,Versus Book,Book Spread
BUF,LAC,BUF,0.7600504,-7.5,with,-7.2
MIA,KC,KC,0.6654216,-4.2,with,-10.7
PIT,CIN,CIN,0.6656886,-4.2,with,-3.5
CLE,CAR,CAR,0.6197522,-3.0,with,-2.8
IND,HOU,IND,0.6000401,-2.6,against,2.0
JAX,NE,JAX,0.54007024,-1.6,with,-2.8
DEN,LAR,LAR,0.68335915,-4.7,with,-2.5
DAL,BAL,BAL,0.50834394,-1.3,with,-3.5
NYG,TEN,NYG,0.65744185,-4.0,with,-2.8
WSH,SEA,SEA,0.6949065,-5.1,with,-7.0
GB,ATL,GB,0.57031083,-2.0,with,-4.5
CHI,PHI,CHI,0.50618136,-1.2,against,4.5
DET,NYJ,DET,0.6896452,-4.9,with,-6.5
NO,LV,LV,0.5183202,-1.4,against,3.0
TB,MIN,TB,0.6481942,-3.7,against,1.5
SF,ARI,SF,0.81798625,-10.1,with,-8.5
