season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,17,TEN,NO,NO,0.620988
2025,17,IND,JAX,JAX,0.587589
2025,17,KC,DEN,DEN,0.67138
2025,17,LV,NYG,NYG,0.558921
2025,17,LAC,HOU,LAC,0.570587
2025,17,WSH,DAL,DAL,0.659076
2025,17,GB,BAL,GB,0.670204
2025,17,MIN,DET,DET,0.75671
2025,17,ATL,LAR,LAR,0.6929
2025,17,CAR,SEA,SEA,0.723828
2025,17,BUF,PHI,BUF,0.709632
2025,17,SF,CHI,SF,0.520877
2025,17,NYJ,NE,NE,0.836645
2025,17,MIA,TB,TB,0.547037
2025,17,CLE,PIT,PIT,0.718123
2025,17,CIN,ARI,CIN,0.629373
