Home Team,Away Team,Predicted Winner,Win Probability,Win Spread,Versus Book,Book Spread
NE,PIT,NE,0.6818558,-4.7,with,-5.5
BUF,DET,BUF,0.6726104,-4.4,with,-5.5
NYJ,GB,GB,0.5859888,-2.3,with,-3.5
BAL,NO,BAL,0.76706815,-7.8,with,-8.5
HOU,CIN,CIN,0.5589752,-1.8,against,2.7
TEN,PHI,PHI,0.6668942,-4.2,with,-7.0
KC,IND,KC,0.660975,-4.0,with,-6.2
DEN,JAX,JAX,0.69270766,-5.0,against,2.5
LAC,LV,LAC,0.59994483,-2.6,with,-6.5
DAL,WSH,DAL,0.684375,-4.7,with,-4.0
CHI,MIN,CHI,0.59272957,-2.4,with,-4.5
ATL,CAR,CAR,0.625351,-3.1,with,-2.5
TB,CLE,TB,0.65368044,-3.8,with,-8.3
SF,MIA,SF,0.74498284,-6.9,with,-13.5
LAR,NYG,LAR,0.5162938,-1.3,with,-6.7
ARI,SEA,ARI,0.60520875,-2.7,against,4.0
