season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,3,NE,PIT,NE,0.579977
2025,3,TEN,IND,IND,0.725223
2025,3,JAX,HOU,JAX,0.726367
2025,3,LAC,DEN,LAC,0.602218
2025,3,PHI,LAR,PHI,0.515235
2025,3,NYG,KC,KC,0.752107
2025,3,WSH,LV,WSH,0.600109
2025,3,MIN,CIN,CIN,0.752801
2025,3,CHI,DAL,DAL,0.704447
2025,3,TB,NYJ,TB,0.583039
2025,3,CAR,ATL,ATL,0.593568
2025,3,BUF,MIA,BUF,0.569053
2025,3,SF,ARI,ARI,0.540303
2025,3,SEA,NO,SEA,0.679035
2025,3,BAL,DET,DET,0.534902
2025,3,CLE,GB,GB,0.650384
