season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,1,NE,LV,LV,0.532909
2025,1,IND,MIA,IND,0.517941
2025,1,JAX,CAR,JAX,0.632452
2025,1,DEN,TEN,DEN,0.733728
2025,1,LAC,KC,KC,0.675911
2025,1,PHI,DAL,PHI,0.63094
2025,1,WSH,NYG,WSH,0.760592
2025,1,GB,DET,DET,0.55737
2025,1,CHI,MIN,MIN,0.651629
2025,1,NO,ARI,ARI,0.636902
2025,1,ATL,TB,TB,0.697822
2025,1,BUF,BAL,BAL,0.648677
2025,1,SEA,SF,SF,0.618021
2025,1,LAR,HOU,LAR,0.579309
2025,1,NYJ,PIT,PIT,0.56258
2025,1,CLE,CIN,CIN,0.860216
