season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,4,NE,CAR,CAR,0.536405
2025,4,HOU,TEN,HOU,0.632853
2025,4,KC,BAL,BAL,0.540766
2025,4,DEN,CIN,CIN,0.59301
2025,4,LV,CHI,CHI,0.527304
2025,4,DAL,GB,GB,0.526416
2025,4,NYG,LAC,LAC,0.706691
2025,4,DET,CLE,DET,0.732716
2025,4,ATL,WSH,WSH,0.550336
2025,4,TB,PHI,PHI,0.534504
2025,4,BUF,NO,BUF,0.736379
2025,4,SF,JAX,JAX,0.639443
2025,4,LAR,IND,IND,0.605543
2025,4,ARI,SEA,SEA,0.634222
2025,4,MIA,NYJ,MIA,0.546379
2025,4,PIT,MIN,PIT,0.60908
