season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,15,NE,BUF,NE,0.532279
2025,15,HOU,ARI,HOU,0.591389
2025,15,JAX,NYJ,JAX,0.717219
2025,15,KC,LAC,LAC,0.562318
2025,15,DEN,GB,GB,0.613568
2025,15,PHI,LV,PHI,0.651344
2025,15,DAL,MIN,DAL,0.789134
2025,15,NYG,WSH,NYG,0.662316
2025,15,CHI,CLE,CHI,0.768319
2025,15,NO,CAR,NO,0.535558
2025,15,TB,ATL,TB,0.570268
2025,15,SF,TEN,SF,0.774667
2025,15,SEA,IND,SEA,0.675882
2025,15,LAR,DET,LAR,0.563619
2025,15,PIT,MIA,MIA,0.572334
2025,15,CIN,BAL,BAL,0.568709
